            	N0/0	N1/0	N2/0	N3/0	N4/0	N5/0	N6/0	N7/0
        LORD	1.000	0.000	0.000	0.000	0.684	0.000	0.281	0.254
        SEER	0.000	1.000	0.000	0.000	0.316	0.328	0.132	0.120
     WARRIOR	0.000	0.000	1.000	0.000	0.000	0.320	0.000	0.499
MOTHER_EARTH	0.000	0.000	0.000	1.000	0.000	0.352	0.588	0.127
    MOUNTAIN	1.000	0.205	0.202	0.000	1.000	0.328	0.281	0.498
         SEA	0.413	0.297	0.507	0.210	0.316	1.000	0.293	0.637
      FOREST	0.713	0.093	0.099	0.814	0.345	0.352	1.000	0.382
      VALLEY	0.000	0.723	0.710	0.520	0.316	0.680	0.449	0.621
       EAGLE	0.616	0.418	0.313	0.202	0.684	0.352	0.000	0.630
       HORSE	0.307	0.518	0.415	0.386	0.000	0.000	0.140	0.380
        BULL	0.706	0.204	0.698	0.514	0.339	0.672	0.302	0.755
         DOE	0.713	0.296	0.292	0.607	0.684	0.352	1.000	0.257
       WHITE	0.412	0.408	0.497	0.500	1.000	0.328	0.435	0.000
       BLACK	0.514	0.518	0.804	0.797	0.000	0.320	0.860	1.000
        BLUE	0.600	0.301	0.191	0.609	0.661	1.000	0.582	0.251
         RED	0.807	0.295	0.605	0.411	0.339	0.000	0.440	1.000


LABEL	GROUP	LORD	SEER	WARRIOR	MOTHER_	MOUNTAI	SEA	FOREST	VALLEY	EAGLE	HORSE	BULL	DOE	WHITE	BLACK	BLUE	RED	RES_0	RES_1	RES_2	RES_3	RES_4	RES_5	RES_6	RES_7
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.702	0.593	0.588	0.649	0.671	0.630	0.702	0.632
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.660	0.546	0.584	0.550	0.622	0.556	0.569	0.626
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.741	0.630	0.627	0.659	0.701	0.664	0.702	0.679
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.000	0.447	0.796	0.703	0.730	0.724	0.757	0.697	0.746	0.766
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.447	0.447	0.740	0.657	0.674	0.654	0.686	0.646	0.649	0.726
1.000	PRO_4	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.730	0.619	0.643	0.619	0.731	0.613	0.642	0.667
1.000	PRO_4	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.000	0.722	0.612	0.589	0.644	0.744	0.648	0.682	0.614
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.000	0.447	0.447	0.000	0.447	0.000	0.447	0.773	0.649	0.688	0.684	0.716	0.682	0.722	0.752
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.729	0.591	0.627	0.636	0.685	0.680	0.664	0.684
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.792	0.674	0.697	0.725	0.770	0.697	0.752	0.737
