       	N0/0	N1/0	N2/0
WŁADCA	1.000	0.000	0.000
WIESZCZ	0.000	0.000	0.000
 WOJOWN	0.000	0.000	0.000
MAT_ZEM	0.000	1.000	1.000
  GÓRA	1.000	0.000	0.000
  MORZE	0.340	0.171	0.345
    LAS	0.340	0.683	0.851
  DÓŁ	0.000	0.352	0.690
 ORZEŁ	0.346	0.171	0.168
   KOŃ	0.346	0.317	0.149
    BYK	1.000	0.518	0.520
 ŁANIA	0.000	0.673	1.000
 BIAŁY	0.000	0.508	0.506
 CZARNY	0.346	0.829	0.832
   SINY	0.687	0.679	0.520
 KRASNY	1.000	0.000	0.346


LABEL	GROUP	WŁADCA	WIESZCZ	WOJOWN	MAT_ZEM	GÓRA	MORZE	LAS	DÓŁ	ORZEŁ	KOŃ	BYK	ŁANIA	BIAŁY	CZARNY	SINY	KRASNY	RES_0	RES_1	RES_2
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.662	0.657	0.655
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.689	0.529	0.543
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.718	0.639	0.656
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.000	0.447	0.757	0.707	0.720
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.447	0.447	0.757	0.639	0.624
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.703	0.605	0.625
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.000	0.662	0.649	0.648
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.000	0.447	0.447	0.000	0.447	0.000	0.447	0.744	0.666	0.693
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.744	0.614	0.627
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.757	0.715	0.721
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.447	0.000	0.568	0.648	0.632
2.000	PRO_2	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.447	0.000	0.000	0.600	0.682	0.685
2.000	PRO_0	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.631	0.576	0.601
2.000	PRO_2	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.599	0.596	0.602
2.000	PRO_2	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.534	0.622	0.631
2.000	PRO_2	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.568	0.603	0.608
2.000	PRO_0	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.567	0.538	0.559
2.000	PRO_2	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.534	0.548	0.550
2.000	PRO_0	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.000	0.000	0.447	0.447	0.630	0.605	0.617
2.000	PRO_2	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.517	0.538	0.543
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.598	0.614	0.649
3.000	PRO_2	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.616	0.630	0.632
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.000	0.447	0.447	0.583	0.623	0.649
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.615	0.595	0.617
3.000	PRO_0	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.447	0.000	0.000	0.447	0.000	0.447	0.662	0.631	0.648
3.000	PRO_1	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.447	0.000	0.000	0.567	0.640	0.639
3.000	PRO_1	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.616	0.622	0.609
3.000	PRO_1	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.447	0.447	0.000	0.000	0.583	0.640	0.632
3.000	PRO_0	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.690	0.622	0.641
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.616	0.603	0.624
4.000	PRO_1	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.616	0.689	0.684
4.000	PRO_2	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.447	0.447	0.677	0.753	0.773
4.000	PRO_2	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.583	0.715	0.740
4.000	PRO_1	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.447	0.447	0.447	0.447	0.447	0.000	0.616	0.767	0.766
4.000	PRO_1	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.447	0.000	0.568	0.681	0.646
4.000	PRO_2	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.447	0.000	0.000	0.000	0.447	0.447	0.662	0.691	0.694
4.000	PRO_1	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.000	0.534	0.655	0.645
4.000	PRO_1	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.616	0.699	0.678
4.000	PRO_2	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.447	0.000	0.447	0.447	0.000	0.000	0.447	0.000	0.632	0.724	0.735
4.000	PRO_2	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.534	0.698	0.698
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.662	0.657	0.655
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.689	0.529	0.543
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.718	0.639	0.656
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.000	0.447	0.757	0.707	0.720
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.447	0.447	0.757	0.639	0.624
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.703	0.605	0.625
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.000	0.662	0.649	0.648
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.000	0.447	0.447	0.000	0.447	0.000	0.447	0.744	0.666	0.693
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.744	0.614	0.627
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.757	0.715	0.721
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.447	0.000	0.568	0.648	0.632
2.000	PRO_2	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.447	0.000	0.000	0.600	0.682	0.685
2.000	PRO_0	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.631	0.576	0.601
2.000	PRO_2	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.599	0.596	0.602
2.000	PRO_2	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.534	0.622	0.631
2.000	PRO_2	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.568	0.603	0.608
2.000	PRO_0	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.567	0.538	0.559
